Title,Director,Cast,Year,Language,movie_info
Tea Break,Tanniru Ramesh,Ravi Kumar SanapalaPriyanka AugustineSushma Eedhi,2023,Telugu,Movie Title: Tea Break. Directed by: Tanniru Ramesh. Starring: Ravi Kumar SanapalaPriyanka AugustineSushma Eedhi. Released in: 2023.
The Story of A Beautiful Girl,Ravi Prakash Bodapati,MadhunandanNihal KodhatyDrishika ChanderBhargava PoludasuBhavana Durgam,2023,Telugu,Movie Title: The Story of A Beautiful Girl. Directed by: Ravi Prakash Bodapati. Starring: MadhunandanNihal KodhatyDrishika ChanderBhargava PoludasuBhavana Durgam. Released in: 2023.
Anni Manchi Sakunamule,B. V. Nandini Reddy,Santosh SobhanMalvika NairVennela KishoreRajendra PrasadRao RameshGautamiNaresh,2023,Telugu,Movie Title: Anni Manchi Sakunamule. Directed by: B. V. Nandini Reddy. Starring: Santosh SobhanMalvika NairVennela KishoreRajendra PrasadRao RameshGautamiNaresh. Released in: 2023.
Haseena,Naveen Eragani,Priyanka DeySaiTeja GanjiThanveer MDAkash LalShiva Ganga,2023,Telugu,Movie Title: Haseena. Directed by: Naveen Eragani. Starring: Priyanka DeySaiTeja GanjiThanveer MDAkash LalShiva Ganga. Released in: 2023.
Malli Pelli,M. S. Raju,"Naresh, Pavitra Lokesh, Jayasudha, Sarath Babu, Vanitha Vijayakumar",2023,Telugu,"Movie Title: Malli Pelli. Directed by: M. S. Raju. Starring: Naresh, Pavitra Lokesh, Jayasudha, Sarath Babu, Vanitha Vijayakumar. Released in: 2023."
Grey: The Spy Who Loved Me,Raj Madiraju,"Ali Reza, Arvind Krishna, Urvashi Rai, Prathap Pothen, Raj Madiraju",2023,Telugu,"Movie Title: Grey: The Spy Who Loved Me. Directed by: Raj Madiraju. Starring: Ali Reza, Arvind Krishna, Urvashi Rai, Prathap Pothen, Raj Madiraju. Released in: 2023."
Boo,A. L. Vijay,"Rakul Preet Singh, Vishwak Sen, Nivetha Pethuraj, Manjima Mohan, Megha Akash, Reba Monica John",2023,Telugu,"Movie Title: Boo. Directed by: A. L. Vijay. Starring: Rakul Preet Singh, Vishwak Sen, Nivetha Pethuraj, Manjima Mohan, Megha Akash, Reba Monica John. Released in: 2023."
Ahimsa,Teja,Abhiram DaggubatiGeethika TiwarySadhaRajat Bedi,2023,Telugu,Movie Title: Ahimsa. Directed by: Teja. Starring: Abhiram DaggubatiGeethika TiwarySadhaRajat Bedi. Released in: 2023.
Custody[β],Venkat Prabhu,Naga ChaitanyaArvind SwamyKrithi ShettyVennela KishorePriyamaniSampath RajPremgi AmarenSarath KumarSatya,2023,Telugu,Movie Title: Custody[β]. Directed by: Venkat Prabhu. Starring: Naga ChaitanyaArvind SwamyKrithi ShettyVennela KishorePriyamaniSampath RajPremgi AmarenSarath KumarSatya. Released in: 2023.
Chakravyuham: The Trap,Chetkuri Madhusudhan,AjaySubhalekha SudhakarGnaneswari Kandregula,2023,Telugu,Movie Title: Chakravyuham: The Trap. Directed by: Chetkuri Madhusudhan. Starring: AjaySubhalekha SudhakarGnaneswari Kandregula. Released in: 2023.
Mem Famous,Sumanth Prabhas,Sumanth PrabhasSaarya Laxman,2023,Telugu,Movie Title: Mem Famous. Directed by: Sumanth Prabhas. Starring: Sumanth PrabhasSaarya Laxman. Released in: 2023.
Pareshan,Rupak Ronaldson,ThiruveerPavani Karanam,2023,Telugu,Movie Title: Pareshan. Directed by: Rupak Ronaldson. Starring: ThiruveerPavani Karanam. Released in: 2023.
Anantha,Madhu Babu Thokala,Prashanth KarthiRittika ChakraborthyAnish KuruvillaLaya Biben,2023,Telugu,Movie Title: Anantha. Directed by: Madhu Babu Thokala. Starring: Prashanth KarthiRittika ChakraborthyAnish KuruvillaLaya Biben. Released in: 2023.
Intinti Ramayanam,Suresh Naredla,Rahul RamakrishnaNavya SwamyNaresh,2023,Telugu,Movie Title: Intinti Ramayanam. Directed by: Suresh Naredla. Starring: Rahul RamakrishnaNavya SwamyNaresh. Released in: 2023.
Unstoppable,Diamond Ratnababu,VJ SunnySaptagiriNakshatraAqsa KhanPosani Krishna Murali,2023,Telugu,Movie Title: Unstoppable. Directed by: Diamond Ratnababu. Starring: VJ SunnySaptagiriNakshatraAqsa KhanPosani Krishna Murali. Released in: 2023.
Vimanam,Siva Prasad Yanala,SamuthirakaniMeera JasmineAnasuya BharadwajMaster Dhruvan,2023,Telugu,Movie Title: Vimanam. Directed by: Siva Prasad Yanala. Starring: SamuthirakaniMeera JasmineAnasuya BharadwajMaster Dhruvan. Released in: 2023.
Kanulu Therichinaa Kanulu Moosinaa,Sandeep Reddi Katkuri,Sai RonakDevika Satheesh,2023,Telugu,Movie Title: Kanulu Therichinaa Kanulu Moosinaa. Directed by: Sandeep Reddi Katkuri. Starring: Sai RonakDevika Satheesh. Released in: 2023.
Karna,Kaladhar Kokkonda,Kaladhar KokkondaMona ThakurChatrapathi SekharDil RameshAsma SyedMahender,2023,Telugu,Movie Title: Karna. Directed by: Kaladhar Kokkonda. Starring: Kaladhar KokkondaMona ThakurChatrapathi SekharDil RameshAsma SyedMahender. Released in: 2023.
Nenu Student Sir,Rakhi Uppalapati,Bellamkonda GaneshAvantika Dassani,2023,Telugu,Movie Title: Nenu Student Sir. Directed by: Rakhi Uppalapati. Starring: Bellamkonda GaneshAvantika Dassani. Released in: 2023.
Dhamaka,Trinadha Rao Nakkina,Ravi TejaSree LeelaJayaramSachin KhedekarTanikella BharaniRao RameshChirag JaniAliPraveenHyper AadiPavitra LokeshTulasiRajshree Nair,2022,Telugu,Movie Title: Dhamaka. Directed by: Trinadha Rao Nakkina. Starring: Ravi TejaSree LeelaJayaramSachin KhedekarTanikella BharaniRao RameshChirag JaniAliPraveenHyper AadiPavitra LokeshTulasiRajshree Nair. Released in: 2022.
18 Pages,Palnati Surya Pratap,Nikhil SiddharthaAnupama Parameswaran,2022,Telugu,Movie Title: 18 Pages. Directed by: Palnati Surya Pratap. Starring: Nikhil SiddharthaAnupama Parameswaran. Released in: 2022.
Dangerous,Ram Gopal Varma,Naina GangulyApsara RaniRajpal Yadav,2022,Telugu,Movie Title: Dangerous. Directed by: Ram Gopal Varma. Starring: Naina GangulyApsara RaniRajpal Yadav. Released in: 2022.
Zinga,Jaichanakar Chigurula,Sanjeev DevanSripriyaSriramKasu Naveen Kumar,2022,Telugu,Movie Title: Zinga. Directed by: Jaichanakar Chigurula. Starring: Sanjeev DevanSripriyaSriramKasu Naveen Kumar. Released in: 2022.
Bommala Koluvu,Swaroop RSJ,HrishikeshPriyanka SharmaMalavika SatheesanSubbu VedulaShivam Malhotra,2022,Telugu,Movie Title: Bommala Koluvu. Directed by: Swaroop RSJ. Starring: HrishikeshPriyanka SharmaMalavika SatheesanSubbu VedulaShivam Malhotra. Released in: 2022.
Acharya,Koratala Siva,ChiranjeeviRam CharanPooja HegdeSonu Sood,2022,Telugu,Movie Title: Acharya. Directed by: Koratala Siva. Starring: ChiranjeeviRam CharanPooja HegdeSonu Sood. Released in: 2022.
Jayamma Panchayathi,Vijay Kumar Kalivarapu,Suma Kanakala,2022,Telugu,Movie Title: Jayamma Panchayathi. Directed by: Vijay Kumar Kalivarapu. Starring: Suma Kanakala. Released in: 2022.
Bhala Thandanana,Chaitanya Dantluri,Sree VishnuCatherine TresaRamachandra RajuPosani Krishna MuraliRavi Varma,2022,Telugu,Movie Title: Bhala Thandanana. Directed by: Chaitanya Dantluri. Starring: Sree VishnuCatherine TresaRamachandra RajuPosani Krishna MuraliRavi Varma. Released in: 2022.
Ashoka Vanamlo Arjuna Kalyanam,Vidya Sagar Chinta,Vishwak SenRukshar DhillonRitika NayakGoparaju Ramana,2022,Telugu,Movie Title: Ashoka Vanamlo Arjuna Kalyanam. Directed by: Vidya Sagar Chinta. Starring: Vishwak SenRukshar DhillonRitika NayakGoparaju Ramana. Released in: 2022.
Sarkaru Vaari Paata,Parasuram,Mahesh BabuKeerthy SureshSamuthirakaniVennela KishoreNadhiyaSowmya MenonSubbarajuAjayBrahmajiTanikella BharaniPosani Krishna MuraliMahesh ManjrekarRavi PrakashSatyam Rajesh,2022,Telugu,Movie Title: Sarkaru Vaari Paata. Directed by: Parasuram. Starring: Mahesh BabuKeerthy SureshSamuthirakaniVennela KishoreNadhiyaSowmya MenonSubbarajuAjayBrahmajiTanikella BharaniPosani Krishna MuraliMahesh ManjrekarRavi PrakashSatyam Rajesh. Released in: 2022.
Shekar,Jeevitha,RajasekharAthmiya RajanMuskaan KhubchandhaniShivani RajashekarKishore,2022,Telugu,Movie Title: Shekar. Directed by: Jeevitha. Starring: RajasekharAthmiya RajanMuskaan KhubchandhaniShivani RajashekarKishore. Released in: 2022.
F3: Fun and Frustration,Anil Ravipudi,VenkateshVarun TejTamannaahMehreen PirzadaAnjaliRajendra PrasadSunilSonal ChauhanRao RameshSangeethaAliTulasiSatyaPragathiAnnapurnammaY. VijayaVennela KishoreRaghu BabuSrikanth IyengarRacha Ravi,2022,Telugu,Movie Title: F3: Fun and Frustration. Directed by: Anil Ravipudi. Starring: VenkateshVarun TejTamannaahMehreen PirzadaAnjaliRajendra PrasadSunilSonal ChauhanRao RameshSangeethaAliTulasiSatyaPragathiAnnapurnammaY. VijayaVennela KishoreRaghu BabuSrikanth IyengarRacha Ravi. Released in: 2022.
Major[c],Sashi Kiran Tikka,Adivi SeshSobhita DhulipalaSaiee ManjrekarPrakash RajRevathiMurali Sharma,2022,Telugu,Movie Title: Major[c]. Directed by: Sashi Kiran Tikka. Starring: Adivi SeshSobhita DhulipalaSaiee ManjrekarPrakash RajRevathiMurali Sharma. Released in: 2022.
Ante Sundaraniki,Vivek Athreya,NaniNazriya NazimHarsha VardhanSuhas PagoluRahul RamakrishnaNareshSrikanth IyengarRohiniPrudhvi Raj,2022,Telugu,Movie Title: Ante Sundaraniki. Directed by: Vivek Athreya. Starring: NaniNazriya NazimHarsha VardhanSuhas PagoluRahul RamakrishnaNareshSrikanth IyengarRohiniPrudhvi Raj. Released in: 2022.
Kinnerasani,Ramana Teja,Kalyaan DhevAnn SheetalRavindra Vijay,2022,Telugu,Movie Title: Kinnerasani. Directed by: Ramana Teja. Starring: Kalyaan DhevAnn SheetalRavindra Vijay. Released in: 2022.
Virata Parvam,Venu Udugula,Sai PallaviRana DaggubatiPriyamaniNandita DasNaveen ChandraZarina WahabEaswari RaoSai ChandNivetha Pethuraj,2022,Telugu,Movie Title: Virata Parvam. Directed by: Venu Udugula. Starring: Sai PallaviRana DaggubatiPriyamaniNandita DasNaveen ChandraZarina WahabEaswari RaoSai ChandNivetha Pethuraj. Released in: 2022.
Godse,Gopi Ganesh Pattabhi,SatyadevAishwarya LekshmiBrahmajiTanikella BharaniNagendra BabuPrudhvi RajNoel SeanPriyadarshi PulikondaChaitanya Krishna,2022,Telugu,Movie Title: Godse. Directed by: Gopi Ganesh Pattabhi. Starring: SatyadevAishwarya LekshmiBrahmajiTanikella BharaniNagendra BabuPrudhvi RajNoel SeanPriyadarshi PulikondaChaitanya Krishna. Released in: 2022.
Konda,Ram Gopal Varma,ThrigunIrra MorTulasiL. B. Sriram,2022,Telugu,Movie Title: Konda. Directed by: Ram Gopal Varma. Starring: ThrigunIrra MorTulasiL. B. Sriram. Released in: 2022.
Sammathame,Gopinath Reddy,Kiran AbbavaramChandini Chowdary,2022,Telugu,Movie Title: Sammathame. Directed by: Gopinath Reddy. Starring: Kiran AbbavaramChandini Chowdary. Released in: 2022.
Chor Bazaar,B Jeeevan Reddy,Akash PuriGehana SippySunilPosani Krishna MuraliSubbaraju,2022,Telugu,Movie Title: Chor Bazaar. Directed by: B Jeeevan Reddy. Starring: Akash PuriGehana SippySunilPosani Krishna MuraliSubbaraju. Released in: 2022.
Bloody Mary,Chandoo Mondeti,Nivetha PethurajBrahmajiAjayKireeti Damaraju,2022,Telugu,Movie Title: Bloody Mary. Directed by: Chandoo Mondeti. Starring: Nivetha PethurajBrahmajiAjayKireeti Damaraju. Released in: 2022.
Ghani,Kiran Korrapati,Varun TejJagapathi BabuSaiee ManjrekarUpendraSuniel ShettyNaveen ChandraNadhiyaNareshTanikella Bharani,2022,Telugu,Movie Title: Ghani. Directed by: Kiran Korrapati. Starring: Varun TejJagapathi BabuSaiee ManjrekarUpendraSuniel ShettyNaveen ChandraNadhiyaNareshTanikella Bharani. Released in: 2022.
Mishan Impossible,Swaroop RSJ,Taapsee PannuHarsh RoshanBhanu PrakshanJayateertha MoluguSuhas PagoluViva HarshaManikanta VaranasiJayateerthaHarsha VardhanMadhusudhan RaoSatyam RajeshRavindra Vijay,2022,Telugu,Movie Title: Mishan Impossible. Directed by: Swaroop RSJ. Starring: Taapsee PannuHarsh RoshanBhanu PrakshanJayateertha MoluguSuhas PagoluViva HarshaManikanta VaranasiJayateerthaHarsha VardhanMadhusudhan RaoSatyam RajeshRavindra Vijay. Released in: 2022.
RRR,S. S. Rajamouli,N. T. Rama Rao Jr.Ram CharanAjay DevgnAlia BhattShriya SaranSamuthirakaniRay StevensonAlison DoodyOlivia Morris,2022,Telugu,Movie Title: RRR. Directed by: S. S. Rajamouli. Starring: N. T. Rama Rao Jr.Ram CharanAjay DevgnAlia BhattShriya SaranSamuthirakaniRay StevensonAlison DoodyOlivia Morris. Released in: 2022.
Rowdy Boys,Harsha Konuganti,Ashish ReddyAnupama Parameswaran,2022,Telugu,Movie Title: Rowdy Boys. Directed by: Harsha Konuganti. Starring: Ashish ReddyAnupama Parameswaran. Released in: 2022.
Super Machi,Puli Vaasu,Kalyan DevRachita Ram,2022,Telugu,Movie Title: Super Machi. Directed by: Puli Vaasu. Starring: Kalyan DevRachita Ram. Released in: 2022.
The American Dream,Dr. Vighnesh Koushik,Prince CecilNeha KrishnaSubhalekha Sudhakar,2022,Telugu,Movie Title: The American Dream. Directed by: Dr. Vighnesh Koushik. Starring: Prince CecilNeha KrishnaSubhalekha Sudhakar. Released in: 2022.
Hero,Sriram Adittya,Ashok GallaNidhhi AgerwalJagapathi Babu,2022,Telugu,Movie Title: Hero. Directed by: Sriram Adittya. Starring: Ashok GallaNidhhi AgerwalJagapathi Babu. Released in: 2022.
Uniki,Rajkumar Bobby,Chitra ShuklaAshish Gandhi,2022,Telugu,Movie Title: Uniki. Directed by: Rajkumar Bobby. Starring: Chitra ShuklaAshish Gandhi. Released in: 2022.
Good Luck Sakhi,Nagesh Kukunoor,Keerthy SureshAadhi PinisettyJagapathi BabuRahul Ramakrishna,2022,Telugu,Movie Title: Good Luck Sakhi. Directed by: Nagesh Kukunoor. Starring: Keerthy SureshAadhi PinisettyJagapathi BabuRahul Ramakrishna. Released in: 2022.
Khiladi,Ramesh Varma,Ravi TejaArjun SarjaUnni MukundanMeenakshi ChaudharyDimple HayathiNikitin Dheer,2022,Telugu,Movie Title: Khiladi. Directed by: Ramesh Varma. Starring: Ravi TejaArjun SarjaUnni MukundanMeenakshi ChaudharyDimple HayathiNikitin Dheer. Released in: 2022.
Sehari,Gnanasagar Dwaraka,Harsh KanumilliSimran ChoudharyAbhinav GomatamPraneeth Reddy KallemAkshithaaSneha VelidindiKoti,2022,Telugu,Movie Title: Sehari. Directed by: Gnanasagar Dwaraka. Starring: Harsh KanumilliSimran ChoudharyAbhinav GomatamPraneeth Reddy KallemAkshithaaSneha VelidindiKoti. Released in: 2022.
Sadha Nannu Nadipe,Lanka Pratheek Prem Karan,Lanka Pratheek Prem KaranVaishnavi PatwardhanNagendra BabuNassar,2022,Telugu,Movie Title: Sadha Nannu Nadipe. Directed by: Lanka Pratheek Prem Karan. Starring: Lanka Pratheek Prem KaranVaishnavi PatwardhanNagendra BabuNassar. Released in: 2022.
Bhamakalapam,Abhimanyu,PriyamaniSaranya Pradeep,2022,Telugu,Movie Title: Bhamakalapam. Directed by: Abhimanyu. Starring: PriyamaniSaranya Pradeep. Released in: 2022.
DJ Tillu,Vimal Krishna,Siddhu JonnalagaddaNeha Shetty,2022,Telugu,Movie Title: DJ Tillu. Directed by: Vimal Krishna. Starring: Siddhu JonnalagaddaNeha Shetty. Released in: 2022.
Son of India,Diamond Ratnababu,Mohan BabuSrikanthTanikella BharaniAliRaghu BabuRaja Ravindra,2022,Telugu,Movie Title: Son of India. Directed by: Diamond Ratnababu. Starring: Mohan BabuSrikanthTanikella BharaniAliRaghu BabuRaja Ravindra. Released in: 2022.
Virgin Story,Pradip B. Atluri,Vikram SahadevSowmika PandiyanRishika Khanna,2022,Telugu,Movie Title: Virgin Story. Directed by: Pradip B. Atluri. Starring: Vikram SahadevSowmika PandiyanRishika Khanna. Released in: 2022.
Bheemla Nayak,Saagar K Chandra,Pawan KalyanRana DaggubatiNithya MenenSamyuktha MenonSamuthirakaniMurali SharmaRaghu Babu,2022,Telugu,Movie Title: Bheemla Nayak. Directed by: Saagar K Chandra. Starring: Pawan KalyanRana DaggubatiNithya MenenSamyuktha MenonSamuthirakaniMurali SharmaRaghu Babu. Released in: 2022.
Sebastian PC 524,Balaji Sayyapureddy,Kiran AbbavaramKomalee PrasadNuveksha,2022,Telugu,Movie Title: Sebastian PC 524. Directed by: Balaji Sayyapureddy. Starring: Kiran AbbavaramKomalee PrasadNuveksha. Released in: 2022.
Aadavallu Meeku Johaarlu,Tirumala Kishore,SharwanandRashmika MandannaKushbooRadhika SarathkumarUrvashi,2022,Telugu,Movie Title: Aadavallu Meeku Johaarlu. Directed by: Tirumala Kishore. Starring: SharwanandRashmika MandannaKushbooRadhika SarathkumarUrvashi. Released in: 2022.
Radhe Shyam[c],Radha Krishna Kumar,PrabhasPooja HegdeKrishnam RajuSachin KhedekarPriyadarshi PulikondaMurali SharmaBhagyashreeSathyanKunaal Roy Kapur,2022,Telugu,Movie Title: Radhe Shyam[c]. Directed by: Radha Krishna Kumar. Starring: PrabhasPooja HegdeKrishnam RajuSachin KhedekarPriyadarshi PulikondaMurali SharmaBhagyashreeSathyanKunaal Roy Kapur. Released in: 2022.
Stand Up Rahul,Santo,Raj TarunVarsha BollammaMurali SharmaIndrajaVennela Kishore,2022,Telugu,Movie Title: Stand Up Rahul. Directed by: Santo. Starring: Raj TarunVarsha BollammaMurali SharmaIndrajaVennela Kishore. Released in: 2022.
Malli Modalaindhi,TG Keerthi Kumar,SumanthNaina GangulyVarshini SounderajanPavani ReddySuhasini Maniratnam,2022,Telugu,Movie Title: Malli Modalaindhi. Directed by: TG Keerthi Kumar. Starring: SumanthNaina GangulyVarshini SounderajanPavani ReddySuhasini Maniratnam. Released in: 2022.
7 Days 6 Nights,M. S. Raju,Sumanth AshwinMeher ChahalRohanKrithika Shetty,2022,Telugu,Movie Title: 7 Days 6 Nights. Directed by: M. S. Raju. Starring: Sumanth AshwinMeher ChahalRohanKrithika Shetty. Released in: 2022.
Gangster Gangaraju,Eeshaan Suryaah,Laksh ChadalavadaVedieka DuttVennela KishoreCharandeepSrikanth Iyengar,2022,Telugu,Movie Title: Gangster Gangaraju. Directed by: Eeshaan Suryaah. Starring: Laksh ChadalavadaVedieka DuttVennela KishoreCharandeepSrikanth Iyengar. Released in: 2022.
Pakka Commercial,Maruthi,GopichandRaashi KhannaSathyarajAnasuya BharadwajRao RameshSaptagiri,2022,Telugu,Movie Title: Pakka Commercial. Directed by: Maruthi. Starring: GopichandRaashi KhannaSathyarajAnasuya BharadwajRao RameshSaptagiri. Released in: 2022.
Dongalunnaru Jaagratha,Satish Tripura,Sri SimhaSamuthirakaniPreethi Asrani,2022,Telugu,Movie Title: Dongalunnaru Jaagratha. Directed by: Satish Tripura. Starring: Sri SimhaSamuthirakaniPreethi Asrani. Released in: 2022.
The Ghost,Praveen Sattaru,Nagarjuna AkkineniSonal ChauhanGul PanagAnikha SurendranManish ChaudhariRavi VarmaSrikanth Iyengar,2022,Telugu,Movie Title: The Ghost. Directed by: Praveen Sattaru. Starring: Nagarjuna AkkineniSonal ChauhanGul PanagAnikha SurendranManish ChaudhariRavi VarmaSrikanth Iyengar. Released in: 2022.
Godfather,Mohan Raja,ChiranjeeviSalman KhanNayantharaSatyadev,2022,Telugu,Movie Title: Godfather. Directed by: Mohan Raja. Starring: ChiranjeeviSalman KhanNayantharaSatyadev. Released in: 2022.
Swathi Muthyam,Lakshman K Krishna,Bellamkonda GaneshVarsha Bollamma,2022,Telugu,Movie Title: Swathi Muthyam. Directed by: Lakshman K Krishna. Starring: Bellamkonda GaneshVarsha Bollamma. Released in: 2022.
Boyfriend for Hire,Santosh Kambhampati,Viswant DuddumpudiMalavika SatheesanHarsha VardhanMadhunandanSudharshan,2022,Telugu,Movie Title: Boyfriend for Hire. Directed by: Santosh Kambhampati. Starring: Viswant DuddumpudiMalavika SatheesanHarsha VardhanMadhunandanSudharshan. Released in: 2022.
Ammu,Charukesh Sekar,Aishwarya LekshmiNaveen ChandraBobby SimhaRaja RavindraParvathi T.Appaji Ambarisha Darbha,2022,Telugu,Movie Title: Ammu. Directed by: Charukesh Sekar. Starring: Aishwarya LekshmiNaveen ChandraBobby SimhaRaja RavindraParvathi T.Appaji Ambarisha Darbha. Released in: 2022.
Ginna,Suryaah,Vishnu ManchuPayal RajputSunny LeoneSunilVennela Kishore,2022,Telugu,Movie Title: Ginna. Directed by: Suryaah. Starring: Vishnu ManchuPayal RajputSunny LeoneSunilVennela Kishore. Released in: 2022.
Ori Devuda,Ashwath Marimuthu,Vishwak SenMithila PalkarVenkatesh DaggubatiAsha BhatRahul Ramakrishna,2022,Telugu,Movie Title: Ori Devuda. Directed by: Ashwath Marimuthu. Starring: Vishwak SenMithila PalkarVenkatesh DaggubatiAsha BhatRahul Ramakrishna. Released in: 2022.
Alluri,Pradeep Varma,Sree VishnuKayadu LoharTanikella BharaniSumanRaja RavindraPrudhvi RajRavi VarmaMadhusudhan Rao Reddy,2022,Telugu,Movie Title: Alluri. Directed by: Pradeep Varma. Starring: Sree VishnuKayadu LoharTanikella BharaniSumanRaja RavindraPrudhvi RajRavi VarmaMadhusudhan Rao Reddy. Released in: 2022.
Anukoni Prayanam,Venkatesh Pediredla,Rajendra PrasadNarasimha RajuPremaTulasiRavi BabuSubhalekha SudhakarPrabhas Sreenu,2022,Telugu,Movie Title: Anukoni Prayanam. Directed by: Venkatesh Pediredla. Starring: Rajendra PrasadNarasimha RajuPremaTulasiRavi BabuSubhalekha SudhakarPrabhas Sreenu. Released in: 2022.
Urvasivo Rakshasivo,Rakesh Sashii,Allu SirishAnu EmmanuelSunilAamaniVennela KishoreKedar Shankar,2022,Telugu,Movie Title: Urvasivo Rakshasivo. Directed by: Rakesh Sashii. Starring: Allu SirishAnu EmmanuelSunilAamaniVennela KishoreKedar Shankar. Released in: 2022.
Pratibimbalu,K. S. Prakash Rao Singeetam Srinivasa Rao,Akkineni Nageswara RaoJayasudhaTulasi,2022,Telugu,Movie Title: Pratibimbalu. Directed by: K. S. Prakash Rao Singeetam Srinivasa Rao. Starring: Akkineni Nageswara RaoJayasudhaTulasi. Released in: 2022.
Yashoda,Hari–Harish,SamanthaUnni MukundanVaralaxmi SarathkumarRao RameshMurali SharmaSampath RajShatruDivya SripadaKalpika Ganesh,2022,Telugu,Movie Title: Yashoda. Directed by: Hari–Harish. Starring: SamanthaUnni MukundanVaralaxmi SarathkumarRao RameshMurali SharmaSampath RajShatruDivya SripadaKalpika Ganesh. Released in: 2022.
